brand,parentCompany,marketType,sizeRange,garmentType,alphaSize,numericSizeMin,numericSizeMax,numericBottoms,bustMin,bustMax,waistMin,waistMax,hipMin,hipMax,dateCollected,link
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Tops,XXS,000,00,,29.5,31.5,,,,,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Tops,XS,0,2,,31.5,33.5,,,,,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Tops,S,4,6,,33.5,35.5,,,,,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Tops,M,8,10,,35.5,38,,,,,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Tops,L,12,14,,38,41,,,,,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Tops,XL,16,18,,41,45,,,,,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Tops,XXL,20,22,,45,49,,,,,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Tops,XXXL,24,,,49,53,,,,,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,XXS,000,,23,,,22.5,23.5,32,33,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,XXS,00,,24,,,23.5,24.5,33,34,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,XS,0,,25,,,24.5,25.5,34,35,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,XS,2,,26,,,25.5,26.5,35,36,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,S,4,,27,,,26.5,27.5,36,37.5,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,S,6,,28,,,27.5,29,37.5,38.5,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,M,8,,29,,,29,30.5,38.5,39.5,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,M,10,,30,,,30.5,32,39.5,41,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,L,12,,31,,,32,33.5,41,42.5,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,L,14,,32,,,33.5,35.5,42.5,44,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,XL,16,,33,,,35.5,37.5,44,46,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,XL,18,,34,,,37.5,39.5,46,48,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,XXL,20,,35,,,39.5,42,48,50.5,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,XXL,22,,36,,,42,44.5,50.5,53,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Bottoms,XXXL,24,,37,,,44.5,47,53,55.5,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Plus,Bottoms,XXS,000,,23,,,22.5,23.5,34,35,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Plus,Bottoms,XXS,00,,24,,,23.5,24.5,35,36,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Plus,Bottoms,XS,0,,25,,,24.5,25.5,36,37,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Plus,Bottoms,XS,2,,26,,,25.5,26.5,37,38,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Plus,Bottoms,S,4,,27,,,26.5,27.5,38,39.5,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Plus,Bottoms,S,6,,28,,,27.5,29,39.5,40.5,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Plus,Bottoms,M,8,,29,,,29,30.5,40.5,41.5,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Plus,Bottoms,M,10,,30,,,30.5,32,41.5,43,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Plus,Bottoms,L,12,,31,,,32,33.5,43,44.5,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Plus,Bottoms,L,14,,32,,,33.5,35.5,44.5,46,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Plus,Bottoms,XL,16,,33,,,35.5,37.5,46,48,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Plus,Bottoms,XL,18,,34,,,37.5,39.5,48,50,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Plus,Bottoms,XXL,20,,35,,,39.5,42,50,52.5,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Plus,Bottoms,XXL,22,,36,,,42,44.5,52.5,55,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Plus,Bottoms,XXXL,24,,37,,,44.5,47,55,57.5,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Dresses,XXS,000,00,,29.5,31.5,22.5,24.5,32,34,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Dresses,XS,0,2,,31.5,33.5,24.5,26.5,34,36,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Dresses,S,4,6,,33.5,35.5,26.5,29,36,38.5,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Dresses,M,8,10,,35.5,38,29,32,38.5,41,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Dresses,L,12,14,,38,41,32,35.5,41,44,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Dresses,XL,16,18,,41,45,35.5,39.5,44,48,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Dresses,XXL,20,22,,45,49,39.5,44.5,48,53,2025/02/19,
Abercrombie & Fitch,Abercrombie & Fitch Co.,mass market,Regular,Dresses,XXXL,24,,,49,53,44.5,49.5,53,58,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Tops,XXS,00,,,31,,,,,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Tops,XS,0,2,,32,33,,,,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Tops,S,4,6,,34,35,,,,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Tops,M,8,10,,36,37,,,,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Tops,L,12,14,,38.5,40,,,,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Tops,XL,16,18,,41.5,43.5,,,,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Tops,XXL,20,22,,45.5,48.5,,,,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Bottoms,XXS,000,,,,,22.5,,32,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Bottoms,XXS,00,,,,,23.5,,33,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Bottoms,XS,0,,,,,24.5,,34,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Bottoms,XS,2,,,,,25.5,,35,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Bottoms,S,4,,,,,26.5,,36,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Bottoms,S,6,,,,,27.5,,37,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Bottoms,M,8,,,,,28.5,,38,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Bottoms,M,10,,,,,29.5,,39,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Bottoms,L,12,,,,,31,,40.5,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Bottoms,L,14,,,,,32.5,,42,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Bottoms,XL,16,,,,,34,,43.5,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Bottoms,XL,18,,,,,36,,45.5,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Bottoms,XXL,20,,,,,38,,47.5,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Bottoms,XXL,22,,,,,41,,50.5,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Plus,Bottoms,,000,,,,,22,,35,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Plus,Bottoms,,00,,,,,23,,36,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Plus,Bottoms,,0,,,,,24,,37,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Plus,Bottoms,,2,,,,,25,,38,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Plus,Bottoms,,4,,,,,26,,39,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Plus,Bottoms,,6,,,,,27,,40,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Plus,Bottoms,,8,,,,,28,,41,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Plus,Bottoms,,10,,,,,29,,42,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Plus,Bottoms,,12,,,,,30.5,,43.5,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Plus,Bottoms,,14,,,,,32,,45,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Plus,Bottoms,,16,,,,,33.5,,46.5,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Plus,Bottoms,,18,,,,,35.5,,48.5,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Plus,Bottoms,,20,,,,,37.5,,50.5,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Plus,Bottoms,,22,,,,,40.5,,53.5,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Dresses,XXS,00,,,31,,23.5,,33,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Dresses,XS,0,,,32,,24.5,,34,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Dresses,XS,2,,,33,,25.5,,35,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Dresses,S,4,,,34,,26.5,,36,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Dresses,S,6,,,35,,27.5,,37,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Dresses,M,8,,,36,,28.5,,38,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Dresses,M,10,,,37,,30,,39.5,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Dresses,L,12,,,38.5,,31.5,,41,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Dresses,L,14,,,39,,33,,42.5,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Dresses,XL,16,,,40.5,,34.5,,44,,2025/02/19,
American Eagle,American Eagle Outfitters,mass market,Regular,Dresses,XXL,18,,,42.5,,36.5,,46,,2025/02/19,
Anthropologie,URBN Group,premium,Regular,Apparel,XXS,00,,,32,,24,,34,,2025/02/19,
Anthropologie,URBN Group,premium,Regular,Apparel,XS,0,2,,33,34,25,26,35,36,2025/02/19,
Anthropologie,URBN Group,premium,Regular,Apparel,S,4,6,,35,36,27,28,37,38,2025/02/19,
Anthropologie,URBN Group,premium,Regular,Apparel,M,8,10,,37,38,29,30,39,40,2025/02/19,
Anthropologie,URBN Group,premium,Regular,Apparel,L,12,14,,39.5,41,31.5,33,41.5,43,2025/02/19,
Anthropologie,URBN Group,premium,Regular,Apparel,XL,16,,,42.5,,34.5,,44.5,,2025/02/19,
Anthropologie,URBN Group,premium,Plus,Apparel,1X,16W,,,45,,38,,48,,2025/02/19,
Anthropologie,URBN Group,premium,Plus,Apparel,1X,18W,,,47,,40,,50,,2025/02/19,
Anthropologie,URBN Group,premium,Plus,Apparel,2X,20W,,,49,,42,,52,,2025/02/19,
Anthropologie,URBN Group,premium,Plus,Apparel,2X,22W,,,51,,44,,54,,2025/02/19,
Anthropologie,URBN Group,premium,Plus,Apparel,3X,24W,,,53,,46,,56,,2025/02/19,
Anthropologie,URBN Group,premium,Plus,Apparel,3X,26W,,,55,,48,,58,,2025/02/19,
Aritzia,Aritzia Inc,premium,Regular,Apparel,XXS,00,,,30.5,,22.5,,32.5,,2025/02/20,
Aritzia,Aritzia Inc,premium,Regular,Apparel,XS,0,,,32,,24,,34,,2025/02/20,
Aritzia,Aritzia Inc,premium,Regular,Apparel,XS,2,,,33,,25,,35,,2025/02/20,
Aritzia,Aritzia Inc,premium,Regular,Apparel,S,4,,,34,,26,,36,,2025/02/20,
Aritzia,Aritzia Inc,premium,Regular,Apparel,S,6,,,35,,27,,37,,2025/02/20,
Aritzia,Aritzia Inc,premium,Regular,Apparel,M,8,,,36,,28,,38,,2025/02/20,
Aritzia,Aritzia Inc,premium,Regular,Apparel,M,10,,,37.5,,29.75,,39.75,,2025/02/20,
Aritzia,Aritzia Inc,premium,Regular,Apparel,L,12,,,39,,31.5,,41,,2025/02/20,
Aritzia,Aritzia Inc,premium,Regular,Apparel,L,14,,,40.5,,33.25,,42.5,,2025/02/20,
Aritzia,Aritzia Inc,premium,Regular,Apparel,XL,16,,,42,43.5,35,36.75,44,45.5,2025/02/20,
Aritzia,Aritzia Inc,premium,Regular,Apparel,XXL,,,,45,,38.5,,47,,2025/02/20,
ASOS,ASOS,fast fashion,Regular,Apparel,,0,,,31.1,,23.6,,29.9,,2025/02/19,
ASOS,ASOS,fast fashion,Regular,Apparel,,2,,,32.1,,24.6,,30.9,,2025/02/19,
ASOS,ASOS,fast fashion,Regular,Apparel,,4,,,33.1,,25.6,,31.9,,2025/02/19,
ASOS,ASOS,fast fashion,Regular,Apparel,,6,,,35,,27.6,,33.9,,2025/02/19,
ASOS,ASOS,fast fashion,Regular,Apparel,,8,,,37,,29.5,,35.8,,2025/02/19,
ASOS,ASOS,fast fashion,Regular,Apparel,,10,,,39,,31.5,,37.8,,2025/02/19,
ASOS,ASOS,fast fashion,Regular,Apparel,,12,,,40.9,,33.5,,39.8,,2025/02/19,
ASOS,ASOS,fast fashion,Regular,Apparel,,14,,,43.7,,36.2,,42.5,,2025/02/19,
ASOS,ASOS,fast fashion,Plus,Apparel,,12,,,40.9,,33.5,,40.2,,2025/02/19,
ASOS,ASOS,fast fashion,Plus,Apparel,,14,,,43.7,,36.2,,42.9,,2025/02/19,
ASOS,ASOS,fast fashion,Plus,Apparel,,16,,,46.5,,39,,45.7,,2025/02/19,
ASOS,ASOS,fast fashion,Plus,Apparel,,18,,,49.2,,41.7,,48.4,,2025/02/19,
ASOS,ASOS,fast fashion,Plus,Apparel,,20,,,52,,44.5,,51.2,,2025/02/19,
ASOS,ASOS,fast fashion,Plus,Apparel,,22,,,54.7,,47.2,,53.9,,2025/02/19,
ASOS,ASOS,fast fashion,Plus,Apparel,,24,,,57.5,,50,,56.7,,2025/02/19,
ASOS,ASOS,fast fashion,Plus,Apparel,,26,,,60.2,,52.8,,59.4,,2025/02/19,
Balenciaga,Kering,luxury,Regular,Apparel,XXS,0,,,30.67,,22.8,,33.88,,2025/02/20,
Balenciaga,Kering,luxury,Regular,Apparel,XS,2,,,31.5,,24.44,,35.44,,2025/02/20,
Balenciaga,Kering,luxury,Regular,Apparel,S,4,,,33,,25.57,,37,,2025/02/20,
Balenciaga,Kering,luxury,Regular,Apparel,M,6,,,34.63,,28.38,,38.57,,2025/02/20,
Balenciaga,Kering,luxury,Regular,Apparel,L,8,,,36.25,,30,,40.2,,2025/02/20,
Balenciaga,Kering,luxury,Regular,Apparel,XL,10,,,37.8,,30.67,,41.75,,2025/02/20,
Balenciaga,Kering,luxury,Regular,Apparel,XXL,12,,,39.38,,32.25,,43.33,,2025/02/20,
Burberry,Burberry,luxury,Regular,Apparel,,00,,,27,,21.5,,30,,2025/02/19,
Burberry,Burberry,luxury,Regular,Apparel,,00,,,28.5,,22.5,,31.5,,2025/02/19,
Burberry,Burberry,luxury,Regular,Apparel,,0,,,30,,23.5,,33,,2025/02/19,
Burberry,Burberry,luxury,Regular,Apparel,,2,,,31.5,,25,,34.5,,2025/02/19,
Burberry,Burberry,luxury,Regular,Apparel,,4,,,33,,26.5,,36,,2025/02/19,
Burberry,Burberry,luxury,Regular,Apparel,,6,,,34.5,,28,,38,,2025/02/19,
Burberry,Burberry,luxury,Regular,Apparel,,8,,,36,,29.5,,39.5,,2025/02/19,
Burberry,Burberry,luxury,Regular,Apparel,,10,,,38,,31,,41,,2025/02/19,
Burberry,Burberry,luxury,Regular,Apparel,,12,,,39.5,,33,,42.5,,2025/02/19,
Burberry,Burberry,luxury,Regular,Apparel,,14,,,41,,35,,44,,2025/02/19,
Burberry,Burberry,luxury,Regular,Apparel,,16,,,43,,37,,45.5,,2025/02/19,
COS,H&M Group,premium,Regular,Apparel,XXS,2,,,29.9,,23.6,,34.6,,2025/02/20,
COS,H&M Group,premium,Regular,Apparel,XS,2,,,31.5,,25.2,,36.2,,2025/02/20,
COS,H&M Group,premium,Regular,Apparel,S,6,,,33.1,,26.8,,37.8,,2025/02/20,
COS,H&M Group,premium,Regular,Apparel,S,8,,,34.6,,28.3,,39,,2025/02/20,
COS,H&M Group,premium,Regular,Apparel,M,10,,,36.2,,29.9,,40.2,,2025/02/20,
COS,H&M Group,premium,Regular,Apparel,M,12,,,37.8,,31.5,,41.3,,2025/02/20,
COS,H&M Group,premium,Regular,Apparel,L,14,,,39.4,,33.5,,39,,2025/02/20,
Forever 21,Forever 21,fast fashion,Regular,Apparel,XXS,00,,,31,,22,23,31,32,2025/02/19,
Forever 21,Forever 21,fast fashion,Regular,Apparel,XS,0,,,32,,24,25,33,34,2025/02/19,
Forever 21,Forever 21,fast fashion,Regular,Apparel,S,2,4,,34,35,25,26,35,37,2025/02/19,
Forever 21,Forever 21,fast fashion,Regular,Apparel,M,6,8,,35,36,27,28,38,39,2025/02/19,
Forever 21,Forever 21,fast fashion,Regular,Apparel,L,10,12,,36,37,28,29,40,42,2025/02/19,
Forever 21,Forever 21,fast fashion,Regular,Apparel,XL,14,,,38,41,30,32,43,45,2025/02/19,
Forever 21,Forever 21,fast fashion,Regular,Apparel,XXL,16,,,42,45,33,35,46,48,2025/02/19,
Forever 21,Forever 21,fast fashion,Plus,Apparel,0X,,,,42,43,36,37,46.5,47.5,2025/02/19,
Forever 21,Forever 21,fast fashion,Plus,Apparel,1X,,,,44,45,38,39,48.5,49.5,2025/02/19,
Forever 21,Forever 21,fast fashion,Plus,Apparel,2X,,,,46,47,40,41,50.5,51.5,2025/02/19,
Forever 21,Forever 21,fast fashion,Plus,Apparel,3X,,,,48,50,42,44,52.5,54.5,2025/02/19,
Forever 21,Forever 21,fast fashion,Plus,Apparel,4X,,,,51,53,45,47,55.5,57.5,2025/02/19,
Forever 21,Forever 21,fast fashion,Plus,Bottoms,,12,,,,,35,,46,,2025/02/19,
Forever 21,Forever 21,fast fashion,Plus,Bottoms,,14,,,,,37,,48,,2025/02/19,
Forever 21,Forever 21,fast fashion,Plus,Bottoms,,16,,,,,39,,50,,2025/02/19,
Forever 21,Forever 21,fast fashion,Plus,Bottoms,,18,,,,,41,,52,,2025/02/19,
Forever 21,Forever 21,fast fashion,Plus,Bottoms,,20,,,,,43,,54,,2025/02/19,
Forever 21,Forever 21,fast fashion,Plus,Bottoms,,22,,,,,46,,57,,2025/02/19,
Gucci,Kering,luxury,Regular,Apparel,XXXS,00,,,30.3,,,,,,2025/02/19,
Gucci,Kering,luxury,Regular,Apparel,XXS,0,,,31.5,,,,,,2025/02/19,
Gucci,Kering,luxury,Regular,Apparel,XS,2,,,32.7,,,,,,2025/02/19,
Gucci,Kering,luxury,Regular,Apparel,S,4,,,33.8,,,,,,2025/02/19,
Gucci,Kering,luxury,Regular,Apparel,M,6,,,35,,,,,,2025/02/19,
Gucci,Kering,luxury,Regular,Apparel,L,8,,,36.6,,,,,,2025/02/19,
Gucci,Kering,luxury,Regular,Apparel,XL,10,,,38.2,,,,,,2025/02/19,
Gucci,Kering,luxury,Regular,Apparel,XXL,12,,,39.8,,,,,,2025/02/19,
Gucci,Kering,luxury,Regular,Apparel,XXXL,14,,,41.3,,,,,,2025/02/19,
Gucci,Kering,luxury,Regular,Apparel,4XL,16,,,42.9,,,,,,2025/02/19,
