id,value10_11,value14_15,value20_29,value30_39,value20over,percentile,type
p5,22.56,,26.97,28.58,29.06,5,percentile
p10,23.66,26.1,28.46,29.76,30.31,10,percentile
p25,24.76,27.56,30.39,33.03,33.43,25,percentile
p75,31.46,34.25,38.78,42.83,42.99,75,percentile
p90,35.24,39.09,46.69,49.84,47.83,90,percentile
p95,36.77,41.02,50.12,52.6,50.87,95,percentile
segment-5-10-0,22.7433333,26.1973333,27.2183333,28.7766667,29.2683333,6,standard
segment-5-10-1,22.9266667,26.2946667,27.4666667,28.9733333,29.4766667,7,standard
segment-5-10-2,23.11,26.392,27.715,29.17,29.685,8,standard
segment-5-10-3,23.2933333,26.4893333,27.9633333,29.3666667,29.8933333,8,standard
segment-5-10-4,23.4766667,26.5866667,28.2116667,29.5633333,30.1016667,9,standard
segment-10-25-0,23.7333333,26.684,28.5886667,29.978,30.518,11,standard
segment-10-25-1,23.8066667,26.7813333,28.7173333,30.196,30.726,12,standard
segment-10-25-2,23.88,26.8786667,28.846,30.414,30.934,13,standard
segment-10-25-3,23.9533333,26.976,28.9746667,30.632,31.142,14,standard
segment-10-25-4,24.0266667,27.0733333,29.1033333,30.85,31.35,15,standard
segment-10-25-5,24.1,27.1706667,29.232,31.068,31.558,16,standard
segment-10-25-6,24.1733333,27.268,29.3606667,31.286,31.766,17,standard
segment-10-25-7,24.2466667,27.3653333,29.4893333,31.504,31.974,18,standard
segment-10-25-8,24.32,27.4626667,29.618,31.722,32.182,19,standard
segment-10-25-9,24.3933333,27.6732,29.7466667,31.94,32.39,20,standard
segment-10-25-10,24.4666667,27.7864,29.8753333,32.158,32.598,21,standard
segment-10-25-11,24.54,27.8996,30.004,32.376,32.806,22,standard
segment-10-25-12,24.6133333,28.0128,30.1326667,32.594,33.014,23,standard
segment-10-25-13,24.6866667,28.126,30.2613333,32.812,33.222,24,standard
segment-25-50-0,24.8608,28.2392,30.5176,33.1748,33.6,26,standard
segment-25-50-1,24.9616,28.3524,30.6452,33.3196,33.77,27,standard
segment-25-50-2,25.0624,28.4656,30.7728,33.4644,33.94,28,standard
segment-25-50-3,25.1632,28.5788,30.9004,33.6092,34.11,29,standard
segment-25-50-4,25.264,28.692,31.028,33.754,34.28,30,standard
segment-25-50-5,25.3648,28.8052,31.1556,33.8988,34.45,31,standard
segment-25-50-6,25.4656,28.9184,31.2832,34.0436,34.62,32,standard
segment-25-50-7,25.5664,29.0316,31.4108,34.1884,34.79,33,standard
segment-25-50-8,25.6672,29.1448,31.5384,34.3332,34.96,34,standard
segment-25-50-9,25.768,29.258,31.666,34.478,35.13,35,standard
segment-25-50-10,25.8688,29.3712,31.7936,34.6228,35.3,36,standard
segment-25-50-11,25.9696,29.4844,31.9212,34.7676,35.47,37,standard
segment-25-50-12,26.0704,29.5976,32.0488,34.9124,35.64,38,standard
segment-25-50-13,26.1712,29.7108,32.1764,35.0572,35.81,39,standard
segment-25-50-14,26.272,29.824,32.304,35.202,35.98,40,standard
segment-25-50-15,26.3728,29.9372,32.4316,35.3468,36.15,41,standard
segment-25-50-16,26.4736,30.0504,32.5592,35.4916,36.32,42,standard
segment-25-50-17,26.5744,30.1636,32.6868,35.6364,36.49,43,standard
segment-25-50-18,26.6752,30.2768,32.8144,35.7812,36.66,44,standard
segment-25-50-19,26.776,30.5444,32.942,35.926,36.83,45,standard
segment-25-50-20,26.8768,30.6988,33.0696,36.0708,37,46,standard
segment-25-50-21,26.9776,30.8532,33.1972,36.2156,37.17,47,standard
segment-25-50-22,27.0784,31.0076,33.3248,36.3604,37.34,48,standard
segment-25-50-23,27.1792,31.162,33.4524,36.5052,37.51,49,standard
segment-50-75-0,27.4472,31.3164,33.788,36.8972,37.8924,51,standard
segment-50-75-1,27.6144,31.4708,33.996,37.1444,38.1048,52,standard
segment-50-75-2,27.7816,31.6252,34.204,37.3916,38.3172,53,standard
segment-50-75-3,27.9488,31.7796,34.412,37.6388,38.5296,54,standard
segment-50-75-4,28.116,31.934,34.62,37.886,38.742,55,standard
segment-50-75-5,28.2832,32.0884,34.828,38.1332,38.9544,56,standard
segment-50-75-6,28.4504,32.2428,35.036,38.3804,39.1668,57,standard
segment-50-75-7,28.6176,32.3972,35.244,38.6276,39.3792,58,standard
segment-50-75-8,28.7848,32.5516,35.452,38.8748,39.5916,59,standard
segment-50-75-9,28.952,32.706,35.66,39.122,39.804,60,standard
segment-50-75-10,29.1192,32.8604,35.868,39.3692,40.0164,61,standard
segment-50-75-11,29.2864,33.0148,36.076,39.6164,40.2288,62,standard
segment-50-75-12,29.4536,33.1692,36.284,39.8636,40.4412,63,standard
segment-50-75-13,29.6208,33.3236,36.492,40.1108,40.6536,64,standard
segment-50-75-14,29.788,33.478,36.7,40.358,40.866,65,standard
segment-50-75-15,29.9552,33.6324,36.908,40.6052,41.0784,66,standard
segment-50-75-16,30.1224,33.7868,37.116,40.8524,41.2908,67,standard
segment-50-75-17,30.2896,33.9412,37.324,41.0996,41.5032,68,standard
segment-50-75-18,30.4568,34.0956,37.532,41.3468,41.7156,69,standard
segment-50-75-19,30.624,34.5726667,37.74,41.594,41.928,70,standard
segment-50-75-20,30.7912,34.8953333,37.948,41.8412,42.1404,71,standard
segment-50-75-21,30.9584,35.218,38.156,42.0884,42.3528,72,standard
segment-50-75-22,31.1256,35.5406667,38.364,42.3356,42.5652,73,standard
segment-50-75-23,31.2928,35.8633333,38.572,42.5828,42.7776,74,standard
segment-75-90-0,31.712,36.186,39.3073333,43.2973333,43.3126667,76,standard
segment-75-90-1,31.964,36.5086667,39.8346667,43.7646667,43.6353333,77,standard
segment-75-90-2,32.216,36.8313333,40.362,44.232,43.958,78,standard
segment-75-90-3,32.468,37.154,40.8893333,44.6993333,44.2806667,79,standard
segment-75-90-4,32.72,37.4766667,41.4166667,45.1666667,44.6033333,80,standard
segment-75-90-5,32.972,37.7993333,41.944,45.634,44.926,81,standard
segment-75-90-6,33.224,38.122,42.4713333,46.1013333,45.2486667,82,standard
segment-75-90-7,33.476,38.4446667,42.9986667,46.5686667,45.5713333,83,standard
segment-75-90-8,33.728,38.7673333,43.526,47.036,45.894,84,standard
segment-75-90-9,33.98,39.4116667,44.0533333,47.5033333,46.2166667,85,standard
segment-75-90-10,34.232,39.7333333,44.5806667,47.9706667,46.5393333,86,standard
segment-75-90-11,34.484,40.055,45.108,48.438,46.862,87,standard
segment-75-90-12,34.736,40.3766667,45.6353333,48.9053333,47.1846667,88,standard
segment-75-90-13,34.988,40.6983333,46.1626667,49.3726667,47.5073333,89,standard
segment-90-95-0,35.495,,47.2616667,50.3,48.3366667,91,standard
segment-90-95-1,35.75,,47.8333333,50.76,48.8433333,92,standard
segment-90-95-2,36.005,,48.405,51.22,49.35,93,standard
segment-90-95-3,36.26,,48.9766667,51.68,49.8566667,93,standard
segment-90-95-4,36.515,,49.5483333,52.14,50.3633333,94,standard
low-0,22.285,24.18,26.5975,28.285,28.7475,1,standard
low-1,22.01,24.37,26.225,27.99,28.435,2,standard
low-2,21.735,24.56,25.8525,27.695,28.1225,3,standard
low-3,21.46,24.76,25.48,27.4,27.81,4,standard
high-0,37.1525,41.5025,50.9775,53.29,51.63,96,standard
high-1,37.535,41.985,51.835,53.98,52.39,97,standard
high-2,37.9175,42.4675,52.6925,54.67,53.15,98,standard
high-3,38.3,42.95,53.55,55.36,53.91,99,standard
p50,27.28,30.39,33.58,36.65,37.68,50,percentileMid