year,size,alphaSize,sizeRange,bust,waist,hip,link
2021,00,XXS,straight,31.13,25.38,33.24,
2021,0,XS,straight,31.75,26.5,33.88,
2021,2,XS,straight,33,26.88,35.13,
2021,4,S,straight,34.13,27.63,36.38,
2021,6,S,straight,35.25,28.5,37.5,
2021,8,M,straight,36.25,29.5,38.5,
2021,10,M,straight,37.25,30.5,39.5,
2021,12,L,straight,38.75,32.25,41,
2021,14,L,straight,40.38,34,42.5,
2021,16,XL,straight,42.13,36,44.25,
2021,18,XL,straight, ,38.25,46,
2021,20,XXL,straight,46,40.5,48,
2021,00,XXS,curvy,31.13,23.88,34,
2021,0,XS,curvy,31.75,24.63,34.63,
2021,2,XS,curvy,33,25.38,35.88,
2021,4,S,curvy,34.13,26.13,37.13,
2021,6,S,curvy,35.25,27,38.25,
2021,8,M,curvy,36.25,28,39.25,
2021,10,M,curvy,37.25,29,40.25,
2021,12,L,curvy,38.75,30.75,41.75,
2021,14,L,curvy,40.38,32.5,43.25,
2021,16,XL,curvy,42.13,34.5,45,
2021,18,XL,curvy,44,36.75,46.75,
2021,20,XXL,curvy,46,39,48.75,
2011,00,XXS,straight,31.125,25.375,33.25,
2011,0,XS,straight,31.75,26.125,33.875,
2011,2,XS,straight,33,26.875,35.125,
2011,4,S,straight,34.125,27.625,36.375,
2011,6,S,straight,35.25,28.5,37.5,
2011,8,M,straight,36.25,29.5,38.5,
2011,10,M,straight,37.25,30.5,39.5,
2011,12,L,straight,38.75,32.25,41,
2011,14,L,straight,40.375,34,42.5,
2011,16,XL,straight,42.125,36,44.25,
2011,18,XL,straight,44,38.25,46,
2011,20,XXL,straight,46,40.5,48,
2011,00,XXS,curvy,31.125,23.875,34,
2011,0,XS,curvy,31.75,24.625,34.625,
2011,2,XS,curvy,33,25.375,35.875,
2011,4,S,curvy,34.125,26.125,37.125,
2011,6,S,curvy,35.25,27,38.25,
2011,8,M,curvy,36.25,28,39.25,
2011,10,M,curvy,37.25,29,40.25,
2011,12,L,curvy,38.75,30.75,41.75,
2011,14,L,curvy,40.375,32.5,43.25,
2011,16,XL,curvy,42.125,34.5,45,
2011,18,XL,curvy,44,36.75,46.75,
2011,20,XXL,curvy,46,39,48.75,
2001,2,XS,straight,32,24,34.5,
2001,4,S,straight,33,25,35.5,
2001,6,S,straight,34,26,36.5,
2001,8,M,straight,35,27,37.5,
2001,10,M,straight,36,28,38.5,
2001,12,L,straight,37.5,29.5,40,
2001,14,L,straight,39,31,41.5,
2001,16,XL,straight,40.5,32.5,43,
2001,18,XL,straight,42.5,34.5,45,
2001,20,XXL,straight,44.5,36.5,47,
2004,14,14W,plus,39.5,31.5,41.5,
2004,16,16W,plus,41.5,33.5,43.5,
2004,18,18W,plus,43.5,35.5,45.5,
2004,20,20W,plus,45.5,37.5,47.5,
2004,22,22W,plus,47.5,39.5,49.5,
2004,24,24W,plus,49.5,41.5,51.5,
2004,26,26W,plus,51.5,43.5,53.5,
2004,28,28W,plus,53.5,45.5,55.5,
2004,30,30W,plus,55.5,47.5,57.5,
2004,32,32W,plus,57.5,49.5,59.5,
2016,14,14W,plus,41.5,37.5,42.5,https://forhandsvis.standard.no/product/2550154/en
2016,16,16W,plus,43,39,44,https://forhandsvis.standard.no/product/2550154/en
2016,18,18W,plus,45,41,46,https://forhandsvis.standard.no/product/2550154/en
2016,20,20W,plus,47,43.25,48.13,https://forhandsvis.standard.no/product/2550154/en
2016,22,22W,plus,49,45.5,50.25,https://forhandsvis.standard.no/product/2550154/en
2016,24,24W,plus,51,47.75,52.375,https://forhandsvis.standard.no/product/2550154/en
2016,26,26W,plus,53,50,54.5,https://forhandsvis.standard.no/product/2550154/en
2016,28,28W,plus,55,52.25,56.625,https://forhandsvis.standard.no/product/2550154/en
2016,30,30W,plus,57,54.5,58.75,https://forhandsvis.standard.no/product/2550154/en
2016,32,32W,plus,59,56.75,60.875,https://forhandsvis.standard.no/product/2550154/en
2016,34,34W,plus,61,59,63,https://forhandsvis.standard.no/product/2550154/en
2016,36,36W,plus,63,61.25,65.13,https://forhandsvis.standard.no/product/2550154/en
2016,38,38W,plus,65,63.5,67.25,https://forhandsvis.standard.no/product/2550154/en
2016,40,40W,plus,67,65.75,69.375,https://forhandsvis.standard.no/product/2550154/en
2015,0,0,junior,30.51,22.48,32.48,https://img.antpedia.com/standard/files/pdfs_ora/20221211/astm/ASTM%20D6829-02%20(2015).pdf
2015,1,1,junior,31.50,23.50,33.50,https://img.antpedia.com/standard/files/pdfs_ora/20221211/astm/ASTM%20D6829-02%20(2015).pdf
2015,3,3,junior,32.48,24.49,34.49,https://img.antpedia.com/standard/files/pdfs_ora/20221211/astm/ASTM%20D6829-02%20(2015).pdf
2015,5,5,junior,33.50,25.51,35.51,https://img.antpedia.com/standard/files/pdfs_ora/20221211/astm/ASTM%20D6829-02%20(2015).pdf
2015,7,7,junior,34.49,26.50,36.50,https://img.antpedia.com/standard/files/pdfs_ora/20221211/astm/ASTM%20D6829-02%20(2015).pdf
2015,9,9,junior,35.51,27.48,37.48,https://img.antpedia.com/standard/files/pdfs_ora/20221211/astm/ASTM%20D6829-02%20(2015).pdf
2015,11,11,junior,37.01,29.02,39.02,https://img.antpedia.com/standard/files/pdfs_ora/20221211/astm/ASTM%20D6829-02%20(2015).pdf
2015,13,13,junior,38.50,30.51,40.51,https://img.antpedia.com/standard/files/pdfs_ora/20221211/astm/ASTM%20D6829-02%20(2015).pdf
2015,15,15,junior,40,32.01,42.01,https://img.antpedia.com/standard/files/pdfs_ora/20221211/astm/ASTM%20D6829-02%20(2015).pdf
2015,17,17,junior,41.50,33.50,43.50,https://img.antpedia.com/standard/files/pdfs_ora/20221211/astm/ASTM%20D6829-02%20(2015).pdf
2015,19,19,junior,42.99,35,45,https://img.antpedia.com/standard/files/pdfs_ora/20221211/astm/ASTM%20D6829-02%20(2015).pdf
1995,2,XS,straight,32,24,34.5,https://cdn.standards.iteh.ai/samples/17779/db94584529654d7c8b7542a747302ce5/ASTM-D5585-95.pdf
1995,4,S,straight,33,25,35.5,https://cdn.standards.iteh.ai/samples/17779/db94584529654d7c8b7542a747302ce5/ASTM-D5585-95.pdf
1995,6,S,straight,34,26,36.5,https://cdn.standards.iteh.ai/samples/17779/db94584529654d7c8b7542a747302ce5/ASTM-D5585-95.pdf
1995,8,M,straight,35,27,37.5,https://cdn.standards.iteh.ai/samples/17779/db94584529654d7c8b7542a747302ce5/ASTM-D5585-95.pdf
1995,10,M,straight,36,28,38.5,https://cdn.standards.iteh.ai/samples/17779/db94584529654d7c8b7542a747302ce5/ASTM-D5585-95.pdf
1995,12,L,straight,37.5,29.5,40,https://cdn.standards.iteh.ai/samples/17779/db94584529654d7c8b7542a747302ce5/ASTM-D5585-95.pdf
1995,14,L,straight,39,31,41.5,https://cdn.standards.iteh.ai/samples/17779/db94584529654d7c8b7542a747302ce5/ASTM-D5585-95.pdf
1995,16,XL,straight,40.5,32.5,43,https://cdn.standards.iteh.ai/samples/17779/db94584529654d7c8b7542a747302ce5/ASTM-D5585-95.pdf
1995,18,XL,straight,42.5,34.5,45,https://cdn.standards.iteh.ai/samples/17779/db94584529654d7c8b7542a747302ce5/ASTM-D5585-95.pdf
1995,20,XXL,straight,44.5,36.5,47,https://cdn.standards.iteh.ai/samples/17779/db94584529654d7c8b7542a747302ce5/ASTM-D5585-95.pdf